image,condition,replicate,cell_id,pair,pearson_r,manders_m1,manders_m2
MAX_25deg_rep1.tif,25deg,1,47,Tif6_vs_Nsr1,0.87334606893517,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,48,Tif6_vs_Nsr1,0.8919041754560063,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,49,Tif6_vs_Nsr1,0.824774852608881,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,50,Tif6_vs_Nsr1,0.8573693226135876,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,51,Tif6_vs_Nsr1,0.7453700686079919,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,52,Tif6_vs_Nsr1,0.9122963057942157,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,53,Tif6_vs_Nsr1,0.8759638146166596,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,54,Tif6_vs_Nsr1,0.8160617005229567,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,55,Tif6_vs_Nsr1,0.8689818160287046,0.9991863601414106,1.0
MAX_25deg_rep1.tif,25deg,1,56,Tif6_vs_Nsr1,0.872509011664763,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,57,Tif6_vs_Nsr1,0.9313378533170935,1.0,1.0
MAX_25deg_rep1.tif,25deg,1,1,Sis1_vs_Nsr1,0.8242980685947092,0.9362932822722195,0.9821446810091087
MAX_25deg_rep1.tif,25deg,1,2,Sis1_vs_Nsr1,0.6583716988501271,0.7686711128258833,1.0
MAX_25deg_rep1.tif,25deg,1,3,Sis1_vs_Nsr1,0.813489484162496,0.9952372544692121,0.9477926825140742
MAX_25deg_rep1.tif,25deg,1,4,Sis1_vs_Nsr1,0.7587558795886292,0.9501288155491782,0.9663229059241435
MAX_25deg_rep1.tif,25deg,1,5,Sis1_vs_Nsr1,0.8729120828586818,0.8521817758245577,0.9972148272469472
MAX_25deg_rep1.tif,25deg,1,6,Sis1_vs_Nsr1,0.7526956825218172,0.9482598032932571,0.9763527180783818
MAX_25deg_rep1.tif,25deg,1,7,Sis1_vs_Nsr1,0.8669895662571669,0.7358029824793514,0.980455459019766
MAX_25deg_rep1.tif,25deg,1,8,Sis1_vs_Nsr1,0.7573975545945135,0.7453826724631694,0.9825390115242524
MAX_25deg_rep1.tif,25deg,1,9,Sis1_vs_Nsr1,0.42897328087288916,0.8153953068858956,0.9309101426918627
MAX_25deg_rep1.tif,25deg,1,10,Sis1_vs_Nsr1,0.8112275803423472,0.861473072255158,0.9413373213984619
MAX_25deg_rep1.tif,25deg,1,11,Sis1_vs_Nsr1,0.8948012313239433,0.8704500045825314,0.9970607138938095
MAX_25deg_rep1.tif,25deg,1,12,Sis1_vs_Nsr1,0.7472354539452697,0.9473331902586586,0.9747875864554313
MAX_25deg_rep1.tif,25deg,1,13,Sis1_vs_Nsr1,0.8158060982478146,0.8963518505521989,0.9928175308243149
MAX_25deg_rep1.tif,25deg,1,15,Sis1_vs_Nsr1,0.6935820311763996,0.9328906370469726,0.9913834941473566
MAX_25deg_rep1.tif,25deg,1,16,Sis1_vs_Nsr1,0.7048715735864376,0.8358877634404516,0.981530599042567
MAX_25deg_rep1.tif,25deg,1,17,Sis1_vs_Nsr1,0.7299844613017272,0.8686912757441985,1.0
MAX_25deg_rep1.tif,25deg,1,18,Sis1_vs_Nsr1,0.6669125188011769,0.9423066811092766,0.9896151401956074
MAX_25deg_rep1.tif,25deg,1,19,Sis1_vs_Nsr1,0.8422867269845067,0.776185542842883,1.0
MAX_25deg_rep1.tif,25deg,1,20,Sis1_vs_Nsr1,0.7405227025017166,0.9045938940092166,0.6674526315789474
MAX_25deg_rep1.tif,25deg,1,21,Sis1_vs_Nsr1,0.7193832701922324,0.9164833117964121,0.9716316681883397
MAX_25deg_rep1.tif,25deg,1,22,Sis1_vs_Nsr1,0.815484093270222,0.9786152834997836,0.992316224991296
MAX_25deg_rep1.tif,25deg,1,23,Sis1_vs_Nsr1,0.6918741355560446,0.9738929578597604,0.995574982669645
MAX_25deg_rep1.tif,25deg,1,24,Sis1_vs_Nsr1,0.8033423129122228,0.9012470052827314,0.8277819982555359
MAX_25deg_rep1.tif,25deg,1,25,Sis1_vs_Nsr1,0.7311066067559885,0.9312795601071534,0.7160740170183344
MAX_25deg_rep1.tif,25deg,1,26,Sis1_vs_Nsr1,0.8217147191453393,0.7247013300376648,1.0
MAX_25deg_rep1.tif,25deg,1,27,Sis1_vs_Nsr1,0.9040306841825361,0.731416353957588,0.995653530928133
MAX_25deg_rep1.tif,25deg,1,28,Sis1_vs_Nsr1,0.7780954774268577,0.8005652854575882,0.9985102420856611
MAX_25deg_rep1.tif,25deg,1,29,Sis1_vs_Nsr1,0.8578826617989231,0.7730477092801054,0.9403298065008102
MAX_25deg_rep1.tif,25deg,1,30,Sis1_vs_Nsr1,0.6330899717066435,0.965746401560416,0.9838410472401442
MAX_25deg_rep1.tif,25deg,1,31,Sis1_vs_Nsr1,0.7171919162841667,0.9528308715310786,0.9637040568183876
MAX_25deg_rep1.tif,25deg,1,32,Sis1_vs_Nsr1,0.7045652767668659,0.6475726781215501,0.992423128833536
MAX_25deg_rep1.tif,25deg,1,33,Sis1_vs_Nsr1,0.897908032103942,0.7230119262421335,0.9896214783872808
MAX_25deg_rep1.tif,25deg,1,34,Sis1_vs_Nsr1,0.6688080199515527,0.8821978413324567,0.8310522630339295
