image,condition,replicate,cell_id,n_nuclei,cell_area_px,nucleus_area_px,cytosol_area_px,Tif6_cell_mean,Tif6_nucleus_mean,Tif6_cytosol_mean,Nsr1_cell_mean,Nsr1_nucleus_mean,Nsr1_cytosol_mean,Sis1_cell_mean,Sis1_nucleus_mean,Sis1_cytosol_mean,Sis1_puncta_n,Sis1_puncta_area_px,Sis1_puncta_mean_intensity,Sis1_diffuse_mean_intensity,Sis1_frac_intensity_in_puncta,Sis1_puncta_integrated_intensity,Sis1_fragmentation_index_simple,Sis1_fragmentation_index_persistence,Tif6_puncta_n,Tif6_puncta_area_px,Tif6_puncta_mean_intensity,Tif6_diffuse_mean_intensity,Tif6_frac_intensity_in_puncta,Tif6_puncta_integrated_intensity,Tif6_fragmentation_index_simple,Tif6_fragmentation_index_persistence,keep,pearson_r_Tif6_vs_Sis1,manders_m1_Tif6_vs_Sis1,manders_m2_Tif6_vs_Sis1,pearson_r_Tif6_vs_Nsr1,manders_m1_Tif6_vs_Nsr1,manders_m2_Tif6_vs_Nsr1,pearson_r_Sis1_vs_Nsr1,manders_m1_Sis1_vs_Nsr1,manders_m2_Sis1_vs_Nsr1,Sis1_mean_distance,Sis1_fraction_proximal,Tif6_mean_distance,Tif6_fraction_proximal,nucleolar_area,nucleolar_solidity,nucleolar_circularity,nucleolar_eccentricity,n_nucleoli
MAX_25deg_rep1.tif,25deg,1,26,0,377,0,377,322.30767822265625,,322.30767822265625,198.56764221191406,,198.56764221191406,373.8594055175781,,373.8594055175781,0,0,,373.8594055175781,0.0,0.0,1,0.5416666666666666,0,0,,322.30767822265625,0.0,0.0,1,0.5679012345679013,True,0.6938846328007635,1.0,0.15052837123822652,0.8773592062834988,1.0,1.0,0.8217147191453393,0.7247013300376648,1.0,,,,,71,0.922077922077922,0.899861226989506,0.457663790140146,1
MAX_25deg_rep1.tif,25deg,1,27,0,649,0,649,290.3112487792969,,290.3112487792969,201.99075317382812,,201.99075317382812,360.4483947753906,,360.4483947753906,3,23,207.04347229003906,366.08465576171875,0.020356429887445442,4762.0,4,0.5802469135802468,0,0,,290.3112487792969,0.0,0.0,1,0.35,True,0.9219541193737141,1.0,0.39960221091612363,0.9151005627865457,1.0,1.0,0.9041117994935792,0.7307595058111654,0.995653530928133,13.803962033075587,0.0,,,70,0.9210526315789473,0.8871871252009214,0.5873671598284675,1
MAX_25deg_rep1.tif,25deg,1,28,0,815,0,815,314.31903076171875,,314.31903076171875,206.64785766601562,,206.64785766601562,325.3509216308594,,325.3509216308594,3,10,298.3999938964844,325.6856994628906,0.01125354030192977,2984.0,4,0.5972222222222223,0,0,,314.31903076171875,0.0,0.0,1,0.5457516339869283,True,0.8756340485555795,1.0,0.30374267145389267,0.8851833966881307,1.0,1.0,0.7780954774268577,0.8005652854575882,0.9985102420856611,8.890699903290873,0.3333333333333333,,,74,0.925,0.8628399555787142,0.26179878303112886,1
MAX_25deg_rep1.tif,25deg,1,29,0,644,0,644,371.83074951171875,,371.83074951171875,195.93167114257812,,195.93167114257812,250.08384704589844,,250.08384704589844,0,0,,250.08384704589844,0.0,0.0,1,0.6172839506172837,0,0,,371.83074951171875,0.0,0.0,1,0.6666666666666665,True,0.8891475966996508,0.36603389447094087,0.6111000991080278,0.864085393855811,1.0,1.0,0.8579385082888212,0.7726095281000113,0.9401668555511559,,,,,85,0.9139784946236559,0.91484766994773,0.5384207943688414,1
MAX_25deg_rep1.tif,25deg,1,30,0,432,0,432,452.9884338378906,,452.9884338378906,214.61341857910156,,214.61341857910156,311.9490661621094,,311.9490661621094,1,9,306.22222900390625,312.0709228515625,0.020450868939315237,2756.0,1,0.6666666666666667,0,0,,452.9884338378906,0.0,0.0,1,0.47530864197530875,True,0.7879740398404652,0.7190225106469276,0.5803244633494905,0.8501581342503827,1.0,1.0,0.6313189779198771,0.9658096637911796,0.9838786651301928,4.0,1.0,,,33,0.8918918918918919,0.8314510669534804,0.7419466046208973,1
MAX_25deg_rep1.tif,25deg,1,31,0,794,0,794,397.4647216796875,,397.4647216796875,233.8942108154297,,233.8942108154297,284.5805969238281,,284.5805969238281,0,0,,284.5805969238281,0.0,0.0,1,0.5787037037037037,0,0,,397.4647216796875,0.0,0.0,1,0.7555555555555555,True,0.9269863049476378,0.846607828364367,0.9244154698299103,0.8728525510847853,1.0,1.0,0.7176647279188642,0.9528308715310786,0.962617836391253,,,,,72,0.9113924050632911,0.8686613728990282,0.4768142934895052,1
MAX_25deg_rep1.tif,25deg,1,32,0,666,0,666,336.9639587402344,,336.9639587402344,194.91140747070312,,194.91140747070312,282.0645751953125,,282.0645751953125,0,0,,282.0645751953125,0.0,0.0,2,0.5493827160493827,0,0,,336.9639587402344,0.0,0.0,1,0.7142857142857143,True,0.7849014303182366,0.7717743370706531,0.3152109783012477,0.9283937449625659,0.9992335730645492,1.0,0.7045652767668659,0.6475726781215501,0.992423128833536,,,,,79,0.9294117647058824,0.7872753166354144,0.7502454390319155,1
MAX_25deg_rep1.tif,25deg,1,33,0,414,0,414,313.5652160644531,,313.5652160644531,200.2004852294922,,200.2004852294922,338.6715087890625,,338.6715087890625,0,0,,338.6715087890625,0.0,0.0,1,0.5476190476190474,0,0,,313.5652160644531,0.0,0.0,1,0.5202020202020201,True,0.8650598119394401,1.0,0.060704871619642685,0.8511627699454297,1.0,1.0,0.897908032103942,0.7230119262421335,0.9896214783872808,,,,,63,0.9264705882352942,0.7493581352150186,0.6423787330108001,1
MAX_25deg_rep1.tif,25deg,1,34,0,907,0,907,338.2789306640625,,338.2789306640625,215.0341796875,,215.0341796875,231.8412322998047,,231.8412322998047,1,13,180.84616088867188,232.58277893066406,0.011180330987255089,2351.0,2,0.5518518518518519,1,7,216.7142791748047,339.2244567871094,0.004944283111541332,1517.0,2,0.3680555555555556,True,0.7477582613824747,0.20739604448583795,0.8759107293504103,0.918600343211462,1.0,1.0,0.6690320770857447,0.8821978413324567,0.8310522630339295,10.770329614269007,0.0,12.083045973594572,0.0,86,0.945054945054945,0.8844830996928323,0.5939419659599182,1
MAX_25deg_rep1.tif,25deg,1,35,0,607,0,607,317.2652282714844,,317.2652282714844,220.90774536132812,,220.90774536132812,353.20098876953125,,353.20098876953125,2,7,212.42857360839844,354.84332275390625,0.006935860779036629,1487.0,6,0.41666666666666663,0,0,,317.2652282714844,0.0,0.0,1,0.4333333333333333,True,0.9244091007283384,1.0,0.43071357902547613,0.8472435715720368,1.0,1.0,0.6745427301975823,0.862861769634888,1.0,11.042019056626884,0.0,,,56,0.9491525423728814,0.8817057311436485,0.8263546875024537,1
MAX_25deg_rep1.tif,25deg,1,36,0,493,0,493,285.3509216308594,,285.3509216308594,198.72616577148438,,198.72616577148438,391.4908752441406,,391.4908752441406,1,3,217.6666717529297,392.55511474609375,0.0033833320380301027,653.0,4,0.5061728395061729,0,0,,285.3509216308594,0.0,0.0,1,0.5634920634920635,True,0.8603438300870018,1.0,0.19788457928963377,0.894061298688365,1.0,1.0,0.8570199475233666,0.6769700659137663,1.0,8.06225774829855,0.0,,,63,0.9402985074626866,0.904071097786896,0.5731071236991483,1
MAX_25deg_rep1.tif,25deg,1,37,0,1149,0,1149,433.5047912597656,,433.5047912597656,222.9904327392578,,222.9904327392578,352.4551696777344,,352.4551696777344,1,6,227.3333282470703,353.11199951171875,0.0033681424101972735,1364.0,3,0.782051282051282,0,0,,433.5047912597656,0.0,0.0,2,0.40079365079365087,True,0.8579455972583485,0.9804094047574888,0.7242122974407595,0.9409659813908183,1.0,1.0,0.8196906891007382,0.9274116619053938,0.9975447028916979,17.69180601295413,0.0,,,111,0.940677966101695,0.9290759098926716,0.5224139823909144,1
