image,condition,replicate,cell_id,channel,n_puncta,mean_distance,min_distance,fraction_proximal
MAX_25deg_rep1.tif,25deg,1,53,Tif6,1,0.0,0.0,1.0
MAX_25deg_rep1.tif,25deg,1,54,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,55,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,56,Tif6,0,,,
MAX_25deg_rep1.tif,25deg,1,57,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,1,Sis1,1,3.1622776601683795,3.1622776601683795,1.0
MAX_40deg_rep1.tif,40deg,1,2,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,3,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,4,Sis1,1,0.0,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,5,Sis1,1,0.0,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,6,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,7,Sis1,1,2.8284271247461903,2.8284271247461903,1.0
MAX_40deg_rep1.tif,40deg,1,8,Sis1,2,5.222100115305049,2.8284271247461903,0.5
MAX_40deg_rep1.tif,40deg,1,9,Sis1,3,3.0275875100994063,1.0,0.6666666666666666
MAX_40deg_rep1.tif,40deg,1,10,Sis1,1,0.0,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,11,Sis1,1,5.830951894845301,5.830951894845301,0.0
MAX_40deg_rep1.tif,40deg,1,12,Sis1,2,1.4142135623730951,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,13,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,14,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,15,Sis1,1,0.0,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,16,Sis1,1,0.0,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,17,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,18,Sis1,1,0.0,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,19,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,20,Sis1,2,0.7071067811865476,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,21,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,22,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,23,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,24,Sis1,1,0.0,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,25,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,26,Sis1,1,0.0,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,27,Sis1,4,12.974307061346861,6.082762530298219,0.0
MAX_40deg_rep1.tif,40deg,1,28,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,29,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,30,Sis1,0,,,
MAX_40deg_rep1.tif,40deg,1,31,Sis1,1,3.1622776601683795,3.1622776601683795,1.0
MAX_40deg_rep1.tif,40deg,1,1,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,2,Tif6,1,4.0,4.0,1.0
MAX_40deg_rep1.tif,40deg,1,3,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,4,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,5,Tif6,1,1.0,1.0,1.0
MAX_40deg_rep1.tif,40deg,1,6,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,7,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,8,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,9,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,10,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,11,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,12,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,13,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,14,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,15,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,16,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,17,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,18,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,19,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,20,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,21,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,22,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,23,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,24,Tif6,1,0.0,0.0,1.0
MAX_40deg_rep1.tif,40deg,1,25,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,26,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,27,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,28,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,29,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,30,Tif6,0,,,
MAX_40deg_rep1.tif,40deg,1,31,Tif6,0,,,
